orbit	ock	ick	et	pos[0]	pos[1]	pos[2]	blat	blon	blon0	ascending
5555	5555	50	1544023.878951	3392.735370	1628.279998	-336.759463	-5.093822	25.660361	-0.666882	0
5555	5555	51	1544025.878951	3392.516871	1627.201297	-343.456790	-5.195926	25.647032	-0.680211	0
5555	5555	52	1544027.878951	3392.287331	1626.117514	-350.153018	-5.298034	25.633701	-0.693543	0
5555	5555	53	1544029.878951	3392.046750	1625.028655	-356.848126	-5.399874	25.620243	-0.707000	0
5555	5555	54	1544031.878951	3391.795127	1623.934725	-363.542092	-5.501717	25.606784	-0.720459	0
5555	5555	55	1544033.878951	3391.532459	1622.835733	-370.234895	-5.603695	25.593328	-0.733915	0
5555	5555	56	1544035.878951	3391.258747	1621.731683	-376.926514	-5.705676	25.579870	-0.747373	0
5555	5555	57	1544037.878951	3390.973989	1620.622583	-383.616926	-5.807525	25.566537	-0.760706	0
5555	5555	58	1544039.878951	3390.678184	1619.508438	-390.306111	-5.909378	25.553202	-0.774041	0
5555	5555	59	1544041.878951	3390.371331	1618.389256	-396.994047	-6.011487	25.539973	-0.787270	0
5555	5555	60	1544043.878951	3390.053430	1617.265042	-403.680713	-6.113599	25.526740	-0.800503	0
5555	5555	61	1544045.878951	3389.724479	1616.135804	-410.366087	-6.215561	25.513241	-0.814002	0
5555	5555	62	1544047.878951	3389.384478	1615.001547	-417.050147	-6.317526	25.499738	-0.827505	0
5555	5555	63	1544049.878951	3389.033426	1613.862279	-423.732873	-6.419526	25.486395	-0.840848	0
5555	5555	64	1544051.878951	3388.671322	1612.718005	-430.414242	-6.521529	25.473049	-0.854195	0
5555	5555	65	1544053.878951	3388.298165	1611.568732	-437.094234	-6.623535	25.459700	-0.867543	0
5555	5555	66	1544055.878951	3387.913955	1610.414468	-443.772827	-6.725545	25.446349	-0.880894	0
5555	5555	67	1544057.878951	3387.518691	1609.255217	-450.449999	-6.827558	25.432995	-0.894248	0
5555	5555	68	1544059.878951	3387.112372	1608.090988	-457.125729	-6.929575	25.419639	-0.907604	0
5555	5555	69	1544061.878951	3386.694999	1606.921786	-463.799996	-7.031729	25.406154	-0.921089	0
5555	5555	70	1544063.878951	3386.266569	1605.747619	-470.472779	-7.133886	25.392668	-0.934575	0
5555	5555	71	1544065.878951	3385.827084	1604.568492	-477.144054	-7.235926	25.379452	-0.947791	0
5555	5555	72	1544067.878951	3385.376542	1603.384413	-483.813803	-7.337970	25.366233	-0.961011	0
5555	5555	73	1544069.878951	3384.914943	1602.195388	-490.482002	-7.440137	25.352738	-0.974505	0
5555	5555	74	1544071.878951	3384.442287	1601.001424	-497.148630	-7.542306	25.339241	-0.988002	0
5555	5555	75	1544073.878951	3383.958573	1599.802528	-503.813667	-7.644209	25.325621	-1.001622	0
5555	5555	76	1544075.878951	3383.463800	1598.598706	-510.477091	-7.746115	25.311999	-1.015244	0
5555	5555	77	1544077.878951	3382.957970	1597.389965	-517.138879	-7.848015	25.298633	-1.028610	0
5555	5555	78	1544079.878951	3382.441081	1596.176311	-523.799012	-7.949918	25.285264	-1.041979	0
5555	5555	79	1544081.878951	3381.913134	1594.957753	-530.457467	-8.051844	25.271912	-1.055332	0
5555	5555	80	1544083.878951	3381.374127	1593.734296	-537.114223	-8.153773	25.258556	-1.068687	0
5555	5555	81	1544085.878951	3380.824062	1592.505946	-543.769259	-8.255966	25.245041	-1.082202	0
5555	5555	82	1544087.878951	3380.262937	1591.272712	-550.422554	-8.358162	25.231523	-1.095720	0
5555	5555	83	1544089.878951	3379.690754	1590.034600	-557.074085	-8.460228	25.218165	-1.109078	0
5555	5555	84	1544091.878951	3379.107511	1588.791617	-563.723832	-8.562298	25.204804	-1.122439	0
5555	5555	85	1544093.878951	3378.513209	1587.543769	-570.371772	-8.664356	25.191291	-1.135952	0
5555	5555	86	1544095.878951	3377.907849	1586.291063	-577.017886	-8.766418	25.177776	-1.149467	0
5555	5555	87	1544097.878951	3377.291429	1585.033507	-583.662152	-8.868352	25.164380	-1.162863	0
5555	5555	88	1544099.878951	3376.663951	1583.771107	-590.304547	-8.970289	25.150981	-1.176262	0
5555	5555	89	1544101.878951	3376.025415	1582.503871	-596.945051	-9.072361	25.137456	-1.189787	0
5555	5555	90	1544103.878951	3375.375820	1581.231804	-603.583643	-9.174436	25.123928	-1.203315	0
5555	5555	91	1544105.878951	3374.715167	1579.954915	-610.220300	-9.276514	25.110396	-1.216847	0
5555	5555	92	1544107.878951	3374.043456	1578.673210	-616.855002	-9.378596	25.096862	-1.230381	0
5555	5555	93	1544109.878951	3373.360688	1577.386696	-623.487728	-9.480816	25.083608	-1.243636	0
5555	5555	94	1544111.878951	3372.666863	1576.095380	-630.118456	-9.583039	25.070349	-1.256894	0
5555	5555	95	1544113.878951	3371.961982	1574.799269	-636.747164	-9.685130	25.056805	-1.270439	0
5555	5555	96	1544115.878951	3371.246044	1573.498370	-643.373832	-9.787225	25.043257	-1.283986	0
5555	5555	97	1544117.878951	3370.519051	1572.192691	-649.998438	-9.889323	25.029706	-1.297538	0
5555	5555	98	1544119.878951	3369.781002	1570.882238	-656.620961	-9.991425	25.016151	-1.311092	0
5555	5555	99	1544121.878951	3369.031899	1569.567018	-663.241379	-10.093376	25.002734	-1.324509	0
5555	5555	100	1544123.878951	3368.271742	1568.247039	-669.859671	-10.195330	24.989313	-1.337930	0
5555	5555	101	1544125.878951	3367.500532	1566.922307	-676.475816	-10.297566	24.975753	-1.351490	0
5555	5555	102	1544127.878951	3366.718269	1565.592831	-683.089793	-10.399806	24.962189	-1.365054	0
5555	5555	103	1544129.878951	3365.924955	1564.258616	-689.701580	-10.501924	24.948616	-1.378627	0
5555	5555	104	1544131.878951	3365.120589	1562.919670	-696.311156	-10.604046	24.935040	-1.392203	0
5555	5555	105	1544133.878951	3364.305173	1561.576001	-702.918499	-10.706290	24.921592	-1.405652	0
5555	5555	106	1544135.878951	3363.478707	1560.227615	-709.523589	-10.808538	24.908139	-1.419104	0
5555	5555	107	1544137.878951	3362.641193	1558.874520	-716.126405	-10.910658	24.894723	-1.432520	0
5555	5555	108	1544139.878951	3361.792632	1557.516723	-722.726924	-11.012780	24.881304	-1.445939	0
5555	5555	109	1544141.878951	3360.933023	1556.154231	-729.325126	-11.114764	24.867849	-1.459394	0
5555	5555	110	1544143.878951	3360.062369	1554.787051	-735.920989	-11.216752	24.854390	-1.472853	0
5555	5555	111	1544145.878951	3359.180670	1553.415191	-742.514493	-11.319020	24.840792	-1.486451	0
5555	5555	112	1544147.878951	3358.287927	1552.038658	-749.105616	-11.421292	24.827190	-1.500053	0
5555	5555	113	1544149.878951	3357.384141	1550.657460	-755.694336	-11.523412	24.813724	-1.513519	0
5555	5555	114	1544151.878951	3356.469315	1549.271603	-762.280633	-11.625536	24.800253	-1.526990	0
5555	5555	115	1544153.878951	3355.543448	1547.881095	-768.864485	-11.727667	24.786654	-1.540590	0
5555	5555	116	1544155.878951	3354.606542	1546.485944	-775.445871	-11.829802	24.773050	-1.554193	0
5555	5555	117	1544157.878951	3353.658598	1545.086156	-782.024770	-11.932208	24.759557	-1.567686	0
5555	5555	118	1544159.878951	3352.699617	1543.681739	-788.601161	-12.034616	24.746059	-1.581184	0
5555	5555	119	1544161.878951	3351.729602	1542.272701	-795.175022	-12.136487	24.732452	-1.594791	0
5555	5555	120	1544163.878951	3350.748553	1540.859048	-801.746333	-12.238361	24.718842	-1.608402	0
5555	5555	121	1544165.878951	3349.756471	1539.440789	-808.315072	-12.340507	24.705341	-1.621902	0
5555	5555	122	1544167.878951	3348.753358	1538.017931	-814.881217	-12.442657	24.691835	-1.635408	0
5555	5555	123	1544169.878951	3347.739216	1536.590480	-821.444749	-12.544935	24.678206	-1.649037	0
5555	5555	124	1544171.878951	3346.714046	1535.158446	-828.005645	-12.647216	24.664572	-1.662671	0
5555	5555	125	1544173.878951	3345.677850	1533.721835	-834.563885	-12.749380	24.650929	-1.676314	0
5555	5555	126	1544175.878951	3344.630628	1532.280654	-841.119447	-12.851547	24.637282	-1.689961	0
5555	5555	127	1544177.878951	3343.572384	1530.834912	-847.672310	-12.953833	24.623758	-1.703485	0
5555	5555	128	1544179.878951	3342.503118	1529.384615	-854.222454	-13.056122	24.610230	-1.717013	0
5555	5555	129	1544181.878951	3341.422832	1527.929771	-860.769856	-13.158147	24.596583	-1.730660	0
5555	5555	130	1544183.878951	3340.331529	1526.470389	-867.314496	-13.260175	24.582932	-1.744311	0
5555	5555	131	1544185.878951	3339.229209	1525.006474	-873.856354	-13.362474	24.569390	-1.757853	0
5555	5555	132	1544187.878951	3338.115874	1523.538036	-880.395406	-13.464775	24.555842	-1.771401	0
5555	5555	133	1544189.878951	3336.991527	1522.065081	-886.931634	-13.566933	24.542181	-1.785062	0
5555	5555	134	1544191.878951	3335.856170	1520.587618	-893.465015	-13.669093	24.528516	-1.798727	0
5555	5555	135	1544193.878951	3334.709803	1519.105653	-899.995528	-13.771285	24.514949	-1.812295	0
5555	5555	136	1544195.878951	3333.552430	1517.619195	-906.523152	-13.873480	24.501376	-1.825867	0
5555	5555	137	1544197.878951	3332.384053	1516.128251	-913.047867	-13.975650	24.487696	-1.839548	0
5555	5555	138	1544199.878951	3331.204672	1514.632829	-919.569652	-14.077823	24.474010	-1.853233	0
5555	5555	139	1544201.878951	3330.014291	1513.132936	-926.088484	-14.180152	24.460304	-1.866939	0
5555	5555	140	1544203.878951	3328.812912	1511.628580	-932.604344	-14.282484	24.446594	-1.880649	0
5555	5555	141	1544205.878951	3327.600537	1510.119770	-939.117209	-14.384662	24.433016	-1.894227	0
5555	5555	142	1544207.878951	3326.377167	1508.606512	-945.627060	-14.486843	24.419432	-1.907811	0
5555	5555	143	1544209.878951	3325.142805	1507.088814	-952.133875	-14.589032	24.405721	-1.921522	0
5555	5555	144	1544211.878951	3323.897454	1505.566685	-958.637634	-14.691224	24.392005	-1.935238	0
5555	5555	145	1544213.878951	3322.641116	1504.040131	-965.138314	-14.793547	24.378569	-1.948674	0
